,Unnamed: 0,Loan_Amount,Loan_Tenure_Year,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Years_for_Property_to_Completion,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Unnamed: 0.1,Credit_Card_Exceed_Months,Employment_Type,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Number_of_Loan_to_Approve,Property_Type,State,Score,Total_Duration,Decision
0,0,0,6,0,0,0,0,0,1,1,0,1,0,0,3,1,2,0,0,1,0,1,43,1
1,1,1,9,10,0,0,0,0,1,0,0,1,1,0,3,0,1,0,1,1,0,3,856,0
2,2,0,5,0,0,0,1,0,1,2,2,0,2,0,3,1,1,0,2,1,0,2,30,1
3,3,0,10,0,2,0,0,0,0,2,2,2,3,0,3,0,1,0,0,1,0,3,145,0
4,4,2,4,0,0,0,0,0,2,2,0,2,4,0,3,1,1,0,1,1,0,2,15,1
5,5,2,10,0,0,0,0,1,1,1,1,1,5,0,3,0,1,0,1,1,0,1,145,1
6,6,2,5,0,2,0,0,0,0,0,2,2,6,0,3,1,0,0,0,1,0,1,30,0
7,7,1,11,0,0,0,2,0,2,1,1,2,7,0,3,0,1,0,1,1,0,2,202,1
8,8,2,14,0,0,0,1,0,0,1,2,0,8,0,3,1,1,0,1,1,0,2,419,0
9,9,2,2,0,0,0,0,0,1,0,1,1,9,0,3,0,0,0,0,1,0,1,4,1
10,10,2,12,0,0,0,0,0,0,2,2,0,10,0,3,1,1,0,1,1,0,2,261,1
11,11,0,0,8,0,0,1,0,0,2,0,0,11,0,3,0,2,0,2,1,0,1,85,0
12,12,2,13,0,0,0,0,0,0,2,0,2,12,0,3,1,1,0,2,1,0,1,320,0
13,13,0,14,0,0,0,0,0,1,2,2,0,13,0,3,0,1,0,2,1,0,2,419,0
14,14,2,10,0,2,0,0,0,1,0,1,0,14,0,3,1,1,0,2,1,0,0,145,1
15,15,1,3,0,0,0,0,0,2,1,1,0,15,0,3,0,1,0,2,1,0,2,10,0
16,16,0,2,3,0,0,0,0,1,0,0,2,16,0,3,1,0,0,2,1,0,1,30,1
17,17,2,4,0,0,0,0,0,2,1,2,2,17,0,3,0,1,0,0,1,0,2,15,1
18,18,1,8,0,0,0,0,1,0,2,2,0,18,0,3,1,2,0,1,1,0,0,85,0
19,19,2,2,0,0,0,0,2,1,1,1,2,19,0,3,0,1,0,0,1,0,3,4,1
20,20,2,6,0,0,0,0,0,0,2,0,1,20,0,3,1,0,0,2,1,0,2,43,1
21,21,0,13,0,0,0,0,0,2,1,0,1,21,0,3,0,1,0,2,1,0,0,320,0
22,22,2,0,0,0,0,0,0,0,2,0,1,22,0,3,1,1,0,0,1,0,0,0,1
23,23,0,5,0,1,0,1,0,0,1,1,2,23,0,3,0,1,0,0,1,0,0,30,0
24,24,0,9,0,0,0,0,1,2,1,0,0,24,0,3,1,1,0,2,1,0,3,107,0
25,25,0,1,0,0,0,0,0,1,0,1,1,25,0,3,0,1,0,2,1,0,2,1,0
26,26,2,5,0,0,0,0,0,1,2,2,2,26,0,3,1,1,0,1,1,0,1,30,0
27,27,2,12,0,0,0,0,0,1,0,0,0,27,0,3,0,2,0,2,1,0,3,261,0
28,28,1,8,10,0,0,0,0,1,1,1,0,28,0,3,1,2,0,0,1,0,2,766,0
29,29,2,10,0,0,0,0,0,0,1,0,0,29,0,3,0,0,0,1,1,0,1,145,0
30,30,0,3,11,2,0,0,0,1,0,1,0,30,0,3,1,0,0,2,1,0,2,419,0
31,31,2,8,0,0,0,0,0,1,2,0,0,31,0,3,0,0,0,0,1,0,3,85,1
32,32,2,5,0,2,0,0,0,0,1,1,1,32,0,3,1,1,0,2,1,0,0,30,1
33,33,0,8,0,0,0,0,0,1,1,0,0,33,0,3,0,1,0,0,1,0,1,85,0
34,34,0,4,0,0,0,0,0,0,2,2,0,34,0,3,1,1,0,0,1,0,0,15,1
35,35,0,14,10,0,0,0,0,0,2,2,1,35,0,3,0,1,0,0,1,0,2,1083,0
36,36,0,8,0,0,0,0,0,1,1,2,1,36,0,3,1,1,0,0,1,0,1,85,1
37,37,0,1,0,0,0,0,0,1,2,2,2,37,0,3,0,0,0,0,1,0,0,1,0
38,38,0,12,0,0,0,0,0,0,0,1,1,38,0,3,1,1,0,1,1,0,1,261,1
39,39,0,9,0,0,0,0,0,0,0,2,1,39,0,3,0,1,0,1,1,0,3,107,0
40,40,2,8,0,0,0,0,0,1,0,1,0,40,0,3,1,1,0,0,1,0,1,85,0
41,41,2,4,0,0,0,0,0,0,0,0,0,41,0,3,0,0,0,1,1,0,1,15,1
42,42,2,0,0,0,0,0,0,1,1,0,2,42,0,3,1,1,0,0,1,0,0,0,0
43,43,0,8,1,0,0,0,0,2,1,2,2,43,0,3,0,0,0,1,1,0,0,107,0
44,44,0,10,0,0,0,1,0,0,1,1,2,44,0,3,1,0,0,0,1,0,0,145,1
45,45,2,5,0,0,0,0,0,1,0,2,1,45,0,3,0,2,0,2,1,0,1,30,0
46,46,2,4,10,0,0,1,0,0,0,2,0,46,0,3,1,1,0,0,1,0,0,419,1
47,47,1,3,0,2,0,0,0,1,0,1,2,47,0,3,0,1,0,1,1,0,3,10,0
48,48,2,4,0,0,0,0,0,2,0,2,0,48,0,3,1,0,0,0,1,0,3,15,0
49,49,1,10,0,0,0,0,0,0,2,0,0,49,0,3,0,1,0,1,1,0,0,145,0
50,50,1,7,0,2,0,0,0,1,2,2,2,50,0,3,1,1,0,0,1,0,1,62,0
51,51,0,7,0,0,0,1,0,2,0,1,2,51,0,3,0,1,0,2,1,0,1,62,0
