,Loan_Amount,Loan_Tenure_Year,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Years_for_Property_to_Completion,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Unnamed: 0,Credit_Card_Exceed_Months,Employment_Type,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Number_of_Loan_to_Approve,Property_Type,State,Score,Total_Duration,Decision
0,Average Loan Amount,16.0,5.0,2.0,2.0,1.0,10.0,2.0,High Salary,Average Sum of Loan,High Income for Join Application,0,1,employer,yes,platinum,2,1,condominium,Johor,7,21.0,Reject
1,High Loan Amount,19.0,15.0,2.0,2.0,1.0,10.0,2.0,Average Salary,Average Sum of Loan,High Income for Join Application,1,1,employer,no,normal,2,2,condominium,Johor,9,34.0,Accept
2,Average Loan Amount,15.0,5.0,2.0,2.0,2.0,10.0,2.0,Low Salary,Low Sum of Loan,Average Income for Join Application,2,1,employer,yes,normal,2,3,condominium,Johor,8,20.0,Reject
3,Average Loan Amount,20.0,5.0,4.0,2.0,1.0,10.0,1.0,Low Salary,Low Sum of Loan,Low Income for Join Application,3,1,employer,no,normal,2,1,condominium,Johor,9,25.0,Accept
4,Low Loan Amount,14.0,5.0,2.0,2.0,1.0,10.0,3.0,Low Salary,Average Sum of Loan,Low Income for Join Application,4,1,employer,yes,normal,2,2,condominium,Johor,8,19.0,Reject
5,Low Loan Amount,20.0,5.0,2.0,2.0,1.0,11.0,2.0,High Salary,High Sum of Loan,High Income for Join Application,5,1,employer,no,normal,2,2,condominium,Johor,7,25.0,Reject
6,Low Loan Amount,15.0,5.0,4.0,2.0,1.0,10.0,1.0,Average Salary,Low Sum of Loan,Low Income for Join Application,6,1,employer,yes,gold,2,1,condominium,Johor,7,20.0,Accept
7,High Loan Amount,21.0,5.0,2.0,2.0,3.0,10.0,3.0,High Salary,High Sum of Loan,Low Income for Join Application,7,1,employer,no,normal,2,2,condominium,Johor,8,26.0,Reject
8,Low Loan Amount,24.0,5.0,2.0,2.0,2.0,10.0,1.0,High Salary,Low Sum of Loan,Average Income for Join Application,8,1,employer,yes,normal,2,2,condominium,Johor,8,29.0,Accept
9,Low Loan Amount,12.0,5.0,2.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,High Income for Join Application,9,1,employer,no,gold,2,1,condominium,Johor,7,17.0,Reject
