,Loan_Amount,Loan_Tenure_Year,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Years_for_Property_to_Completion,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Unnamed: 0,Credit_Card_Exceed_Months,Employment_Type,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Number_of_Loan_to_Approve,Property_Type,State,Decision,Score,Total_Duration
0,423875.0,16.0,5.0,2.0,2.0,1.0,10.0,2.0,12262.0,853141.0,16025.0,0,1,employer,yes,platinum,2,1,condominium,Johor,Reject,7,21.0
1,605505.0,19.0,15.0,2.0,2.0,1.0,10.0,2.0,9251.0,882901.0,17082.0,1,1,employer,no,normal,2,2,condominium,Johor,Accept,9,34.0
2,448361.0,15.0,5.0,2.0,2.0,2.0,10.0,2.0,4919.0,540489.0,12613.0,2,1,employer,yes,normal,2,3,condominium,Johor,Reject,8,20.0
3,490216.0,20.0,5.0,4.0,2.0,1.0,10.0,1.0,4459.0,536727.0,10952.0,3,1,employer,no,normal,2,1,condominium,Johor,Accept,9,25.0
4,292728.0,14.0,5.0,2.0,2.0,1.0,10.0,3.0,5628.0,774695.0,11513.0,4,1,employer,yes,normal,2,2,condominium,Johor,Reject,8,19.0
5,198118.0,20.0,5.0,2.0,2.0,1.0,11.0,2.0,11323.0,1350187.0,16349.0,5,1,employer,no,normal,2,2,condominium,Johor,Reject,7,25.0
6,226681.0,15.0,5.0,4.0,2.0,1.0,10.0,1.0,7448.0,615986.0,11172.0,6,1,employer,yes,gold,2,1,condominium,Johor,Accept,7,20.0
7,667042.0,21.0,5.0,2.0,2.0,3.0,10.0,3.0,10603.0,1191243.0,7543.0,7,1,employer,no,normal,2,2,condominium,Johor,Reject,8,26.0
8,114428.0,24.0,5.0,2.0,2.0,2.0,10.0,1.0,11983.0,556822.0,12947.0,8,1,employer,yes,normal,2,2,condominium,Johor,Accept,8,29.0
9,243542.0,12.0,5.0,2.0,2.0,1.0,10.0,2.0,9535.0,1155848.0,18385.0,9,1,employer,no,gold,2,1,condominium,Johor,Reject,7,17.0
10,238090.0,22.0,5.0,2.0,2.0,1.0,10.0,1.0,5109.0,629295.0,11917.0,10,1,employer,yes,normal,2,2,condominium,Johor,Reject,8,27.0
11,467847.0,10.0,13.0,2.0,2.0,2.0,10.0,1.0,5920.0,1010426.0,12328.0,11,1,employer,no,platinum,2,3,condominium,Johor,Accept,7,23.0
12,236478.0,23.0,5.0,2.0,2.0,1.0,10.0,1.0,6493.0,848730.0,11533.0,12,1,employer,yes,normal,2,3,condominium,Johor,Accept,7,28.0
13,423875.0,24.0,5.0,2.0,2.0,1.0,10.0,2.0,5459.0,524595.0,15290.0,13,1,employer,no,normal,2,3,condominium,Johor,Accept,8,29.0
14,244563.0,20.0,5.0,4.0,2.0,1.0,10.0,2.0,7189.0,1251358.0,14858.0,14,1,employer,yes,normal,2,3,condominium,Johor,Reject,6,25.0
15,577456.0,13.0,5.0,2.0,2.0,1.0,10.0,3.0,11886.0,1183881.0,12738.0,15,1,employer,no,normal,2,3,condominium,Johor,Accept,8,18.0
16,423875.0,12.0,8.0,2.0,2.0,1.0,10.0,2.0,7593.0,786953.0,10878.0,16,1,employer,yes,gold,2,3,condominium,Johor,Reject,7,20.0
17,100443.0,14.0,5.0,2.0,2.0,1.0,10.0,3.0,9947.0,561999.0,11513.0,17,1,employer,no,normal,2,1,condominium,Johor,Reject,8,19.0
18,748282.0,18.0,5.0,2.0,2.0,1.0,11.0,1.0,6209.0,672383.0,13049.0,18,1,employer,yes,platinum,2,2,condominium,Johor,Accept,6,23.0
19,175553.0,12.0,5.0,2.0,2.0,1.0,12.0,2.0,9972.0,1394542.0,8265.0,19,1,employer,no,normal,2,1,condominium,Johor,Reject,9,17.0
20,196987.0,16.0,5.0,2.0,2.0,1.0,10.0,1.0,6064.0,954301.0,16258.0,20,1,employer,yes,gold,2,3,condominium,Johor,Reject,8,21.0
21,473425.0,23.0,5.0,2.0,2.0,1.0,10.0,3.0,9805.0,927502.0,17751.0,21,1,employer,no,normal,2,3,condominium,Johor,Accept,6,28.0
22,210738.0,10.0,5.0,2.0,2.0,1.0,10.0,1.0,6029.0,946444.0,18101.0,22,1,employer,yes,normal,2,1,condominium,Johor,Reject,6,15.0
23,365684.0,15.0,5.0,3.0,2.0,2.0,10.0,1.0,11852.0,1308511.0,10653.0,23,1,employer,no,normal,2,1,condominium,Johor,Accept,6,20.0
24,508544.0,19.0,5.0,2.0,2.0,1.0,11.0,3.0,9605.0,803230.0,13049.0,24,1,employer,yes,normal,2,3,condominium,Johor,Accept,9,24.0
25,538698.0,11.0,5.0,2.0,2.0,1.0,10.0,2.0,7185.0,1330083.0,16984.0,25,1,employer,no,normal,2,3,condominium,Johor,Accept,8,16.0
26,247640.0,15.0,5.0,2.0,2.0,1.0,10.0,2.0,6547.0,666752.0,11513.0,26,1,employer,yes,normal,2,2,condominium,Johor,Accept,7,20.0
27,255874.0,22.0,5.0,2.0,2.0,1.0,10.0,2.0,8538.0,834522.0,14007.0,27,1,employer,no,platinum,2,3,condominium,Johor,Accept,9,27.0
28,767690.0,18.0,15.0,2.0,2.0,1.0,10.0,2.0,10051.0,1227772.0,12280.0,28,1,employer,yes,platinum,2,1,condominium,Johor,Accept,8,33.0
29,249608.0,20.0,5.0,2.0,2.0,1.0,10.0,1.0,9707.0,1011241.0,15707.0,29,1,employer,no,gold,2,2,condominium,Johor,Accept,7,25.0
30,379899.0,13.0,16.0,4.0,2.0,1.0,10.0,2.0,8444.0,1413168.0,13576.0,30,1,employer,yes,gold,2,3,condominium,Johor,Accept,8,29.0
31,251680.0,18.0,5.0,2.0,2.0,1.0,10.0,2.0,6552.0,823047.0,12005.0,31,1,employer,no,gold,2,1,condominium,Johor,Reject,9,23.0
32,110747.0,15.0,5.0,4.0,2.0,1.0,10.0,1.0,11154.0,1294348.0,18851.0,32,1,employer,yes,normal,2,3,condominium,Johor,Reject,6,20.0
33,379448.0,18.0,5.0,2.0,2.0,1.0,10.0,2.0,10817.0,818703.0,13049.0,33,1,employer,no,normal,2,1,condominium,Johor,Accept,7,23.0
34,362448.0,14.0,5.0,2.0,2.0,1.0,10.0,1.0,3698.0,538308.0,14981.0,34,1,employer,yes,normal,2,1,condominium,Johor,Reject,6,19.0
35,550775.0,24.0,15.0,2.0,2.0,1.0,10.0,1.0,6425.0,481871.0,15957.0,35,1,employer,no,normal,2,1,condominium,Johor,Accept,8,39.0
36,423875.0,18.0,5.0,2.0,2.0,1.0,10.0,2.0,10565.0,757268.0,17968.0,36,1,employer,yes,normal,2,1,condominium,Johor,Reject,7,23.0
37,405343.0,11.0,5.0,2.0,2.0,1.0,10.0,2.0,6116.0,746446.0,11513.0,37,1,employer,no,gold,2,1,condominium,Johor,Accept,6,16.0
38,527883.0,22.0,5.0,2.0,2.0,1.0,10.0,1.0,7443.0,1409154.0,19932.0,38,1,employer,yes,normal,2,2,condominium,Johor,Reject,7,27.0
39,503581.0,19.0,5.0,2.0,2.0,1.0,10.0,1.0,6643.0,601169.0,17488.0,39,1,employer,no,normal,2,2,condominium,Johor,Accept,9,24.0
40,132350.0,18.0,5.0,2.0,2.0,1.0,10.0,2.0,8848.0,1413238.0,14137.0,40,1,employer,yes,normal,2,1,condominium,Johor,Accept,7,23.0
41,139803.0,14.0,5.0,2.0,2.0,1.0,10.0,1.0,6583.0,937765.0,12078.0,41,1,employer,no,gold,2,2,condominium,Johor,Reject,7,19.0
42,332052.0,10.0,5.0,2.0,2.0,1.0,10.0,2.0,10013.0,903515.0,10349.0,42,1,employer,yes,normal,2,1,condominium,Johor,Accept,6,15.0
